score_recomendacao,score_modelo,cosine,jaccard_texto,y,mesma_ict,mesma_area_lexica,mesmo_topico,dist_ano,patente_NO_PEDIDO,patente_ano,patente_depositante,patente_titulo,patente_ipc,patente_area_lexica,software_NO_PEDIDO,software_ano,software_depositante,software_titulo,software_tipo_programa,software_area_lexica
0.6587244861821577,0.5674989663463249,0.5038554460570831,0.1111111111111111,1,1,1,1,9.0,PI0705152   ,2007,Universidade Federal de Minas Gerais,MEDIÇÃO DO TEMPERAMENTO ANIMAL,,saude_digital,512016000222,2016,UNIVERSIDADE FEDERAL DE MINAS GERAIS,GERIÁTRICO,APLICATIVO -  APLICATIVOS Inst T&M   -  Instrumentaçäo de Teste e Mediçäo,saude_digital
0.6449846744190404,0.5356044800715989,0.5286804782560286,0.1,1,1,1,1,5.0,PI0701953   ,2007,Universidade Estadual de Campinas - Unicamp,SISTEMA PORTÁTIL DE MEDIÇÃO DE SO2 LIVRE E TOTAL EM BEBIDAS E PROCESSO DE MEDIÇÃO DE SO2 LIVRE E TOTAL EM BEBIDAS,,saude_digital,136061,2012,UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP,IVSMB,Inst T&M   -  Instrumentaçäo de Teste e Mediçäo,saude_digital
0.5977491093706966,0.5139928125247257,0.5286804782560286,0.1,0,0,1,1,3.0,PI0701953   ,2007,Universidade Estadual de Campinas - Unicamp,SISTEMA PORTÁTIL DE MEDIÇÃO DE SO2 LIVRE E TOTAL EM BEBIDAS E PROCESSO DE MEDIÇÃO DE SO2 LIVRE E TOTAL EM BEBIDAS,,saude_digital,105075,2010,UNIVERSIDADE DE SÃO PAULO,MAGVIEW 2.0,Inst T&M   -  Instrumentaçäo de Teste e Mediçäo,saude_digital
0.581104683444384,0.3537178187669272,0.6276675863641261,0.125,0,0,1,1,7.0,PI0205547   ,2002,Universidade Estadual Paulista Julio de Mesquita Filho,DISPOSITIVO LÚDICO PARA ENSINO SOBRE RECICLAGEM DE EMBALAGENS,,educacao_tecnologica,097123,2009,FACULDADE DE TECNOLOGIA DE JUNDIAÍ - CENTRO PAULA SOUZA,G.I.E. - GESTÃO DE INSTITUIÇÃO DE ENSINO,APLICATIVO -  APLICATIVOS,educacao_tecnologica
0.5729808940490237,0.31566845811278016,0.5897887118378488,0.14285714285714285,0,0,1,1,10.0,PI0705152   ,2007,Universidade Federal de Minas Gerais,MEDIÇÃO DO TEMPERAMENTO ANIMAL,,saude_digital,512017001199,2017,UNIVERSIDADE FEDERAL DE VIÇOSA,A2TECOTRIUSB,Inst T&M   -  Instrumentaçäo de Teste e Mediçäo,saude_digital
0.5729808940490237,0.31566845811278016,0.5897887118378488,0.14285714285714285,0,0,1,1,10.0,PI0705152   ,2007,Universidade Federal de Minas Gerais,MEDIÇÃO DO TEMPERAMENTO ANIMAL,,saude_digital,512017000733,2017,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,ACTELABY,Inst T&M   -  Instrumentaçäo de Teste e Mediçäo,saude_digital
0.5679795076007945,0.3537178187669272,0.5623515392796468,0.125,0,0,1,1,7.0,PI0205549   ,2002,Universidade Estadual Paulista Julio de Mesquita Filho,DISPOSITIVO LÚDICO PARA ENSINO SOBRE A PRODUÇÃO DE LIXO,,educacao_tecnologica,097123,2009,FACULDADE DE TECNOLOGIA DE JUNDIAÍ - CENTRO PAULA SOUZA,G.I.E. - GESTÃO DE INSTITUIÇÃO DE ENSINO,APLICATIVO -  APLICATIVOS,educacao_tecnologica
0.5534978503803472,0.3801118622220102,0.5492272700903683,0.1,0,0,1,1,6.0,PI0803283   ,2008,Universidade Estadual de Maringá,SENSOR ELETRÔNICO PARA DETERMINAÇÃO DO TEOR DE ÁLCOOIS EM HIDROCARBONETOS,,industria_4_0,512014001578,2014,UNIVERSIDADE ESTADUAL DE LONDRINA,PRONTUÁRIO ELETRÔNICO ODONTOLÓGICO,APLICATIVO -  APLICATIVOS Controle   -  Controle,industria_4_0
0.546342175587768,0.2927093184387659,0.8080840472976178,0.08333333333333333,0,0,1,1,2.0,PI1003623   ,2010,UNIVERSIDADE FEDERAL DE SÃO PAULO - UNIFESP,MÉTODO E KIT DE DIAGNÓSTICO/PROGNÓSTICO DE GAMOPATIAS MONOCLONAIS MALIGNAS,,saude_digital,092273,2008,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO UNESP,SISDTM - SISTEMA PARA DIAGNÓSTICO DAS DISFUNÇÕES TEMPOROMANDIBULARES (DTM),APLICATIVO -  APLICATIVOS,saude_digital
0.5425575646914482,0.3434143151566003,0.5693517470337173,0.1,0,0,1,1,7.0,PI0205548   ,2002,Universidade Estadual Paulista Julio de Mesquita Filho,DISPOSITIVO LÚDICO PARA ENSINO SOBRE RECICLAGEM E MANUTENÇÃO DO MEIO AMBIENTE,,educacao_tecnologica,097123,2009,FACULDADE DE TECNOLOGIA DE JUNDIAÍ - CENTRO PAULA SOUZA,G.I.E. - GESTÃO DE INSTITUIÇÃO DE ENSINO,APLICATIVO -  APLICATIVOS,educacao_tecnologica
0.5413193957594344,0.3308270212451113,0.7009996610154949,0.07692307692307693,0,0,1,1,5.0,PI0303200   ,2003,Universidade de São Paulo - USP,USO DE ANTÍGENO E CONJUNTO PARA DIAGNÓSTICO DE REABSORÇÃO DENTINÁRIA COMPREENDENDO ANTÍGENO,,saude_digital,092273,2008,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO UNESP,SISDTM - SISTEMA PARA DIAGNÓSTICO DAS DISFUNÇÕES TEMPOROMANDIBULARES (DTM),APLICATIVO -  APLICATIVOS,saude_digital
0.5339446861751045,0.7752545825324033,0.10649492171152675,0.07692307692307693,1,1,1,1,3.0,PI0803439   ,2008,UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP,EQUIPAMENTO E MÉTODO DE MONITORAMENTO E CONTROLE DE PROCESSOS INDUSTRIAIS,,industria_4_0,126312,2011,UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP,CDPGIRB,Atm Indust -  Automaçäo Industrial Contr Proc -  Controle de Processos Instrument -  Instrumentaçäo,industria_4_0
0.5324988039950793,0.4235085162916228,0.42447332349573696,0.09090909090909091,0,0,1,1,5.0,PI0501389   ,2005,UNIVERSIDADE DE SÃO PAULO - USP,APARELHO ELETROMAGNÉTICO DE POSICIONAMENTO LINEAR COM DINAMOMETRIA E RESPECTIVO MÉTODO DE MEDIÇÃO,,saude_digital,105075,2010,UNIVERSIDADE DE SÃO PAULO,MAGVIEW 2.0,Inst T&M   -  Instrumentaçäo de Teste e Mediçäo,saude_digital
0.5187848897716546,0.7314447527348449,0.1704344627407206,0.03571428571428571,1,1,1,1,10.0,PI0501389   ,2005,UNIVERSIDADE DE SÃO PAULO - USP,APARELHO ELETROMAGNÉTICO DE POSICIONAMENTO LINEAR COM DINAMOMETRIA E RESPECTIVO MÉTODO DE MEDIÇÃO,,saude_digital,512015001485,2015,UNIVERSIDADE DE SÃO PAULO- USP,"SUBSISTEMA MULTIPLATAFORMA PARA CONTROLE DE AQUISIÇÃO, VISUALIZAÇÃO E ORGANIZAÇÃO DE DADOS DE  ESPECTRÔMETRO DIGITAL DE RM: TORM CONSOLE",Inst Analt -  Instrumentaçäo Analítica Inst Biomd -  Instrumentaçäo Biomédica Inst T&M   -  Instrumentaçäo de Teste e Mediçäo Instrument -  Instrumentaçäo Proc Imagem  -  Processamento de Imagem,saude_digital
